ds,y,precio,opu,feriados,cyber,mobility,oil_price,copper_price,perc_zero_stock
2020-01-13,14154,22735.6209,0.137931034,0,0,0.0,58.40833333,2.898666667,0.08106409
2020-01-20,11504,25330.17764,0.137931034,0,0,0.0,56.718,2.8073,0.055918094
2020-01-27,0,26016.26202,0.137931034,0,0,0.0,52.73,2.6188,0.019411347
2020-02-03,13842,25606.56556,0.137931034,0,0,0.0,50.348,2.6356,0.016291854
2020-02-10,11964,25816.23508,0.0,0,0,2.369127517,51.085,2.659416667,0.026236882
2020-02-17,12216,25776.09896,0.0,0,0,-0.992565056,52.94,2.6683,0.012872874
2020-02-24,10642,26062.6942,0.0,0,0,3.051823417,48.382,2.6351,0.010494753
2020-03-02,11172,25792.90958,0.0,0,0,2.368421053,45.578,2.6433,0.013493253
2020-03-09,9354,25976.29749,0.0,0,0,-6.791578947,32.34,2.5569,0.013118441
2020-03-16,5314,25647.47573,0.0,0,0,-48.32368897,24.734,2.3144,0.010494753
2020-03-23,4016,26111.55527,0.0,0,0,-66.7920434,23.194,2.2351,0.010494753
2020-03-30,4404,26133.39366,0.0,0,0,-64.56781193,22.908,2.2624,0.002298851
2020-04-06,3732,26270.213,0.0,3,0,-68.99819168,24.39,2.3192,0.002298851
2020-04-13,6316,24120.86329,0.724137931,0,0,-63.6569873,20.106,2.3999,0.015171724
2020-04-20,8814,23494.92248,0.724137931,1,0,-62.27041742,3.92,2.399,0.035730437
2020-04-27,6852,24435.52499,0.724137931,1,0,-61.34664247,15.76,2.4205,0.106725947
2020-05-04,6292,24569.05805,0.724137931,0,0,-56.20433996,23.446,2.4434,0.222224848
2020-05-11,8278,24899.31948,0.724137931,0,0,-61.92558984,26.44,2.4441,0.176755957
2020-05-18,13284,24436.62284,0.724137931,1,0,-65.67811935,32.98,2.491833333,0.063947337
2020-05-25,14532,24501.98733,0.724137931,0,0,-61.84754991,34.056,2.4866,0.069798434
2020-06-01,15212,24477.01894,0.724137931,1,0,-60.8384755,37.3,2.5857,0.045113896
2020-06-08,21144,24069.08699,0.724137931,0,0,-61.96370236,37.866,2.6905,0.02204612
2020-06-15,21736,24200.79115,0.724137931,0,0,-63.85714286,38.41,2.6859,0.027329193
2020-06-22,12456,26295.14688,0.724137931,0,0,-66.20508167,39.21,2.7443,0.038494349
2020-06-29,13466,27311.80357,0.0,1,0,-66.24231465,39.944,2.7767,0.033333333
2020-07-06,15222,26896.75088,0.0,0,0,-63.30560579,40.464,2.88,0.035383047
2020-07-13,15766,26912.49744,0.0,1,0,-64.79746835,40.586,2.9711,0.023973727
2020-07-20,15556,0.0,0.0,0,0,-62.49728752,41.406,2.9784,0.033004926
2020-07-27,20986,0.0,0.0,0,0,-59.66184448,40.82,2.9654,0.043707604
2020-08-03,29168,26910.32864,0.0,0,0,-57.920434,41.614,2.9653,0.049566842
2020-08-10,47912,27213.84145,0.0,1,0,-52.54068716,42.094,2.9402,0.126385822
2020-08-17,20724,37410.42649,0.0,0,0,-53.74559687,42.726,3.025,0.318209614
2020-08-24,7654,27615.37377,0.0,0,0,-52.9379845,43.074,3.0242,0.496546062
2020-08-31,8352,27273.37714,0.0,0,1,-50.60116732,41.12833333,3.071333333,0.587679067
