ds,y
2020-01-13,14154
2020-01-20,11504
2020-01-27,0
2020-02-03,13842
2020-02-10,11964
2020-02-17,12216
2020-02-24,10642
2020-03-02,11172
2020-03-09,9354
2020-03-16,5314
2020-03-23,4016
2020-03-30,4404
2020-04-06,3732
2020-04-13,6316
2020-04-20,8814
2020-04-27,6852
2020-05-04,6292
2020-05-11,8278
2020-05-18,13284
2020-05-25,14532
2020-06-01,15212
2020-06-08,21144
2020-06-15,21736
2020-06-22,12456
2020-06-29,13466
2020-07-06,15222
2020-07-13,15766
2020-07-20,15556
2020-07-27,20986
2020-08-03,29168
2020-08-10,47912
2020-08-17,20724
2020-08-24,7654
2020-08-31,8352
2020-09-07,9354
2020-09-14,8294
2020-09-21,10262
2020-09-28,9824
2020-10-05,11138
2020-10-12,22018
2020-10-19,33772
2020-10-26,29654
2020-11-02,31460
2020-11-09,33422
2020-11-16,37352
2020-11-23,34952
2020-11-30,42092
2020-12-07,27482
2020-12-14,48004
2020-12-21,21836
2020-12-28,9716
2021-01-04,3844
2021-01-11,2620
2021-01-18,6164
2021-01-25,6302
2021-02-01,4742
2021-02-08,2270
2021-02-15,1574
2021-02-22,1348
2021-03-01,1204
2021-03-08,2554
2021-03-15,19332
2021-03-22,15392
2021-03-29,13294
2021-04-05,10136
2021-04-12,16248
2021-04-19,21866
2021-04-26,26722
2021-05-03,31882
2021-05-10,31188
2021-05-17,47856
2021-05-24,48284
2021-05-31,50822
2021-06-07,40594
2021-06-14,48132
2021-06-21,32462
2021-06-28,35746
2021-07-05,38968
2021-07-12,34974
2021-07-19,36244
2021-07-26,33622
2021-08-02,34094
2021-08-09,32604
2021-08-16,32914
2021-08-23,31042
2021-08-30,35086
2021-09-06,31952
2021-09-13,18982
2021-09-20,33024
2021-09-27,20836
2021-10-04,15676
2021-10-11,23812
